name,delegation_ada,expired_epoch
Montrasi,973298.036407,599
cmon4949,877520.173926,573
Quixote [QXT],835100.541024,612
Lauris_StakePool247,831363.408355,577
Gimbalabs,808090.686183,601
Unnamed,799502.012423,550
Unnamed,784447.034378,543
Scientific-Analytical-Tools,775903.751498,617
Unnamed,762830.186394,567
ada_ddy,708480.855997,617
Kurdopia,658567.613501,615
Unnamed,652913.422421,564
Alf,651345.016574,617
YAKISOBA,647046.140909,561
LALKUL,612979.863882,579
Cardaw,569341.570801,574
CardanoMalaya,559478.343311,591
BORIS [PSB],528179.498285,583
ChainIndexChat,521315.747702,556
Unnamed,493767.233551,552
Cardano Advocate,487643.623142,571
Angel Castillo,477710.870516,610
Serverless Nomad,476290.804637,544
COLDHEAT,474619.55016,593
Unnamed,472497.051535,579
Unnamed,464857.22357,600
Chikara,453104.894558,531
Unnamed,448825.159595,546
BEST for ALL,438994.83929,584
Unnamed,413657.555033,543
Unnamed,406829.36634,599
Matcha,400693.218004,586
Goose (Jonah Peralta),397375.747729,590
ADAUSA,396243.01187,618
AndrewGoodson,380353.892398,560
Unnamed,366838.891199,595
Unnamed,355773.968639,613
ADA Community,350468.164376,618
TAVN,343555.005879,611
Unnamed,336389.729128,617
Zukki_Ancap,321123.598405,616
Unnamed,320672.599897,599
Mr.Robot,315491.934744,612
Unnamed,312659.447899,591
Unnamed,311584.528838,610
Prabath Guruge,309110.136723,591
Luca | Knackfisch,300338.587338,610
Unnamed,300124.183362,587
spannercode,264276.724812,610
Unnamed,260579.890047,617
Unnamed,256999.882292,575
Oomfie,256565.604733,617
Unnamed,256538.10666,560
Unnamed,255706.905128,617
Unnamed,253038.014934,599
Unnamed,250691.338147,595
Unnamed,234406.636244,559
Unnamed,233688.08529,562
Unnamed,228273.370489,601
5PC,225359.041125,617
Alex Maaza / Planetmaaz,214514.835706,597
Dutch DRep - SPO FLOWR,206852.463592,596
Moxie,206710.633885,549
Unnamed,204491.099604,563
Unnamed,202971.592714,593
Gnobudy Special ,201688.58322,611
Jonathan Nikkel,201323.840377,600
AnonymousDRep23,200346.64647,583
Unnamed,194277.091306,588
Sustainable ADA,189237.972264,617
Voice for Cardano,189038.913725,559
CAPEX_STAKEPOOL,186123.61807,561
LloydDuhon,183547.368668,596
Unnamed,180806.701866,580
Unnamed,178583.926538,529
Unnamed,178051.041251,593
mathd,171541.320579,595
"Umed Saidov, CFA",170134.518173,601
Unnamed,169248.013473,527
Melon,163577.674461,530
Unnamed,163146.555872,562
Nils Codes,161433.185553,529
ARandomCardanoDrep,154148.576459,610
Unnamed,151783.65478,551
Ratio_St8tik_St8tikRatio,150056.975417,569
Unnamed,147097.606875,561
Fred Tanaka,145929.151414,570
Lily Brodi,145560.564379,596
Unnamed,144945.615264,597
Laponia,141606.76027,569
Styg_Fifte,141215.661856,568
Unnamed,138192.490783,527
Unnamed,135620.725178,603
yumiSucks,131638.633085,600
Unnamed,128580.273554,587
Unnamed,127907.754065,561
Unnamed,125486.236999,611
Kinson,122323.377334,608
Unnamed,119380.367431,617
Unnamed,116344.691613,588
DMOON Stake Pool,115662.495888,618
Unnamed,114802.839111,576
Unnamed,114665.723637,575
Unnamed,112177.411815,601
Unnamed,112122.453168,595
Unnamed,109901.318362,563
dRep AI Agent (SyncAI),108887.944784,610
Unnamed,108532.092361,527
Unnamed,106350.423381,611
Nate - BIKES SPO,105021.58364,600
Unnamed,103904.303833,601
Unnamed,102991.685665,611
Beyond DRep,100757.463202,570
World Peace,100069.986018,593
